segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,36200,1950,559.786,15.346,88.512115,77.650932,0.580735,0.021975,5.0889,5.0889,5.0889,5.0889,0.019668,0.003973,1.388468,8.343493,0.173643,-8.342396,1.0,0.946559,2.001031,0.669443,0.843086,0.173643,15360.0,4.237319,0.669456,1.364641,0.695184,1008.0,14539.150391,1024.0,1024.0,147.783249,36200,64.0,1999.3
0,37000,2000,573.569,15.346,90.88826,79.537277,0.576833,0.023184,5.544064,5.544064,5.544064,5.544064,0.018756,0.005471,1.346658,8.343784,0.168795,-8.368026,1.0,0.937236,2.005326,0.69739,0.866185,0.168795,15360.0,4.335014,0.697391,1.404642,0.707251,1008.0,14395.951172,1024.0,1024.0,91.91758,37000,64.0,1999.3
0,37800,2050,587.227,15.346,94.996902,83.715912,0.631339,0.022449,5.340624,5.340624,5.340624,5.340624,0.023311,0.00459,1.376056,8.344574,0.172903,-8.327589,1.0,0.944407,2.055426,0.724935,0.897838,0.172903,15360.0,4.403461,0.724836,1.463915,0.739079,1008.0,14506.09375,1024.0,1024.0,85.753281,37800,64.0,1999.3
0,38600,2100,601.062,15.346,90.596695,78.863419,0.613657,0.021775,5.660432,5.660432,5.660432,5.660432,0.020159,0.003562,1.414029,8.346173,0.176215,-8.351958,1.0,0.950594,2.093789,0.751894,0.928109,0.176215,15360.0,4.545181,0.751846,1.533003,0.781157,1008.0,14601.123047,1024.0,1024.0,118.966881,38600,64.0,1999.3
0,39400,2150,614.826,15.346,85.838242,74.455017,0.568384,0.021666,5.471122,5.471122,5.471122,5.471122,0.018121,0.00337,1.413193,8.349714,0.175665,-8.370609,1.0,0.951292,2.088991,0.778212,0.953878,0.175665,15360.0,4.242516,0.778146,1.480337,0.702192,1008.0,14611.851562,1024.0,1024.0,132.847015,39400,64.0,1999.3
0,40200,2200,628.703,15.346,88.62149,77.2099,0.57966,0.022192,5.53635,5.53635,5.53635,5.53635,0.019024,0.004051,1.397483,8.34743,0.174923,-8.341274,1.0,0.948095,2.056431,0.803663,0.978585,0.174923,15360.0,4.219479,0.803542,1.51778,0.714238,1008.0,14562.742188,1024.0,1024.0,121.179359,40200,64.0,1999.3
0,41000,2250,642.549,15.346,96.063484,84.51442,0.619846,0.021807,5.675516,5.675516,5.675516,5.675516,0.021031,0.003531,1.407967,8.349851,0.175321,-8.351209,1.0,0.950971,2.018165,0.828256,1.003576,0.175321,15360.0,4.127391,0.828061,1.552322,0.724261,1008.0,14606.917969,1024.0,1024.0,142.167633,41000,64.0,1999.3
0,41800,2300,656.218,15.346,83.60302,72.205399,0.543478,0.021768,5.696826,5.696826,5.696826,5.696826,0.017141,0.003193,1.409099,8.352469,0.175395,-8.32992,1.0,0.953772,1.95776,0.851695,1.027089,0.175395,15360.0,3.996712,0.851656,1.54866,0.697003,1008.0,14649.930664,1024.0,1024.0,76.345993,41800,64.0,1999.3
0,42600,2350,670.056,15.346,86.779587,75.297333,0.549288,0.021138,5.833778,5.833778,5.833778,5.833778,0.017071,0.00236,1.43879,8.35739,0.178073,-8.347828,1.0,0.958858,1.888234,0.873465,1.051538,0.178073,15360.0,3.892171,0.873438,1.5727,0.699262,1008.0,14728.050781,1024.0,1024.0,151.112656,42600,64.0,1999.3
0,43400,2400,683.892,15.346,90.291695,79.115334,0.546635,0.02218,5.80378,5.80378,5.80378,5.80378,0.01954,0.003944,1.364951,8.354115,0.16987,-8.361707,1.0,0.947306,1.730915,0.89319,1.06305,0.16987,15360.0,3.75841,0.892734,1.592512,0.699778,1008.0,14550.612305,1024.0,1024.0,98.37117,43400,64.0,1999.3
