env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
35400,1900,666.31,16.88728,10.428986,0.594394,0.021215,1.635148,1.635148,1.622993,1.622993,0.032916,0.002341,0.323304,1.377424,0.242819,-1.381978,1.0,0.95872,2.442468,0.848035,1.090854,0.242819,15360.0,4.260828,0.848052,1.628566,0.780514,1008.0,14725.9375,1024.0,1024.0,32.605995,35400,64.0,1997.2
36200,1950,683.28,19.138704,12.812675,0.626688,0.021451,1.623225,1.623225,1.621181,1.621181,0.032926,0.002819,0.310424,1.375016,0.232796,-1.381105,1.0,0.954679,2.288585,0.883443,1.116239,0.232796,15360.0,4.311108,0.883435,1.779836,0.896401,1008.0,14663.863281,1024.0,1024.0,34.463318,36200,64.0,1997.2
37000,2000,700.456,15.411611,9.309908,0.697532,0.021023,1.398867,1.398867,1.331978,1.331978,0.040981,0.001956,0.312146,1.378,0.235653,-1.367799,1.0,0.961392,2.194106,0.913671,1.149324,0.235653,15360.0,4.460464,0.913681,1.956839,1.043158,1008.0,14766.974609,1024.0,1024.0,15.438882,37000,64.0,1997.2
37800,2050,717.452,15.778676,9.956564,0.58686,0.021234,1.387236,1.387236,1.321445,1.321445,0.035902,0.002381,0.306347,1.379748,0.228844,-1.383577,1.0,0.958427,2.200891,0.946046,1.17489,0.228844,15360.0,3.936067,0.946043,1.764868,0.818825,1008.0,14721.433594,1024.0,1024.0,20.642147,37800,64.0,1997.2
38600,2100,734.243,16.857748,10.908477,0.593749,0.021106,1.403613,1.403613,1.335126,1.335126,0.035905,0.002157,0.310097,1.378322,0.233818,-1.371053,1.0,0.960024,2.267458,0.984745,1.218564,0.233818,15360.0,4.042958,0.98477,1.816692,0.831922,1008.0,14745.960938,1024.0,1024.0,23.40476,38600,64.0,1997.2
39400,2150,751.352,16.27066,9.651404,0.704867,0.021044,1.740717,1.740717,1.688102,1.688102,0.039417,0.001991,0.315985,1.378881,0.237131,-1.377196,1.0,0.960561,2.316513,1.025663,1.262794,0.237131,15360.0,4.486865,1.025663,2.059912,1.034249,1008.0,14754.220703,1024.0,1024.0,19.382763,39400,64.0,1997.2
40200,2200,768.094,19.591389,12.933164,0.718847,0.020968,1.68818,1.68818,1.675956,1.675956,0.044692,0.001839,0.322508,1.380782,0.241462,-1.380248,1.0,0.961975,2.342862,1.066964,1.308426,0.241462,15360.0,4.653476,1.066973,2.196457,1.129484,1008.0,14775.935547,1024.0,1024.0,30.975199,40200,64.0,1997.2
41000,2250,785.005,14.921888,8.264842,0.668161,0.020817,1.811592,1.811592,1.766677,1.766677,0.042689,0.001528,0.334051,1.381382,0.248503,-1.384399,1.0,0.965006,2.343177,1.108397,1.3569,0.248503,15360.0,4.326959,1.108387,2.110741,1.002354,1008.0,14822.494141,1024.0,1024.0,22.124872,41000,64.0,1997.2
41800,2300,801.578,15.608495,9.157548,0.678831,0.020754,1.738986,1.738986,1.733309,1.733309,0.049025,0.001325,0.335239,1.381223,0.244715,-1.404526,1.0,0.966449,2.25933,1.1471,1.391815,0.244715,15360.0,4.14636,1.147116,2.143582,0.996466,1008.0,14844.652344,1024.0,1024.0,41.983143,41800,64.0,1997.2
42600,2350,818.375,15.736576,9.217741,0.640721,0.020866,1.958468,1.958468,1.925806,1.925806,0.041402,0.001595,0.326541,1.381465,0.244675,-1.374749,1.0,0.964376,2.150495,1.183675,1.42835,0.244675,15360.0,4.086329,1.183666,2.09348,0.909814,1008.0,14812.816406,1024.0,1024.0,23.718544,42600,64.0,1997.2
