env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
43400,2400,834.849,86.593422,75.641708,0.548693,0.021318,5.382207,5.382207,5.382207,5.382207,0.017855,0.002757,1.402939,8.372984,0.173436,-8.370985,1.0,0.957032,1.880381,0.979423,1.152858,0.173436,15360.0,3.926527,0.978633,1.682091,0.703458,1008.0,14700.017578,1024.0,1024.0,120.258881,43400,64.0,1999.3
44200,2450,851.563,88.051178,77.180878,0.529117,0.02144,5.329858,5.329858,5.329858,5.329858,0.014953,0.003,1.408774,8.375389,0.174173,-8.376056,1.0,0.95661,1.904485,1.005639,1.179812,0.174173,15360.0,3.812151,1.004111,1.662598,0.658487,1008.0,14693.521484,1024.0,1024.0,109.692123,44200,64.0,1999.3
45000,2500,868.361,82.99678,71.61142,0.535813,0.021056,5.77161,5.77161,5.77161,5.77161,0.01655,0.002247,1.397115,8.377698,0.171956,-8.384365,1.0,0.960026,1.911978,1.03267,1.204626,0.171956,15360.0,3.902111,1.032239,1.712216,0.679977,1008.0,14745.994141,1024.0,1024.0,141.403,45000,64.0,1999.3
45800,2550,884.955,81.602547,70.464012,0.543397,0.021211,5.525299,5.525299,5.525299,5.525299,0.015434,0.002512,1.392441,8.379501,0.172344,-8.365995,1.0,0.959068,1.911611,1.059737,1.232081,0.172344,15360.0,3.973489,1.059664,1.759619,0.699955,1008.0,14731.291016,1024.0,1024.0,109.951981,45800,64.0,1999.3
46600,2600,902.011,87.02729,75.917091,0.544868,0.021149,5.600327,5.600327,5.600327,5.600327,0.016551,0.002396,1.37342,8.380797,0.169149,-8.387011,1.0,0.959454,1.892349,1.086648,1.255797,0.169149,15360.0,3.726824,1.085036,1.736245,0.651209,1008.0,14737.205078,1024.0,1024.0,87.319252,46600,64.0,1999.3
47400,2650,918.949,82.336113,70.957489,0.584594,0.021003,5.740327,5.740327,5.740327,5.740327,0.021087,0.002073,1.393096,8.381864,0.17212,-8.348155,1.0,0.961904,1.880844,1.11288,1.285,0.17212,15360.0,3.949079,1.111271,1.861132,0.749861,1008.0,14774.848633,1024.0,1024.0,99.379265,47400,64.0,1999.3
48200,2700,935.978,77.643143,66.483971,0.475203,0.020837,5.785226,5.785226,5.785226,5.785226,0.013216,0.001712,1.419322,8.383498,0.173943,-8.397366,1.0,0.964087,1.849556,1.139157,1.3131,0.173943,15360.0,3.435032,1.138461,1.736104,0.597644,1008.0,14808.382812,1024.0,1024.0,224.976944,48200,64.0,1999.3
49000,2750,953.021,77.769058,66.620308,0.516101,0.020942,5.759725,5.759725,5.759725,5.759725,0.015456,0.001881,1.414426,8.385338,0.17312,-8.417727,1.0,0.963272,1.790258,1.164118,1.337238,0.17312,15360.0,3.571081,1.163007,1.830234,0.667228,1008.0,14795.855469,1024.0,1024.0,91.2892,49000,64.0,1999.3
49800,2800,970.055,78.852676,67.625961,0.559708,0.020919,5.820805,5.820805,5.820805,5.820805,0.019615,0.00187,1.402248,8.386397,0.172374,-8.386276,1.0,0.963323,1.712647,1.188471,1.360844,0.172374,15360.0,3.761043,1.187657,1.944548,0.75689,1008.0,14796.635742,1024.0,1024.0,95.834175,49800,64.0,1999.3
50600,2850,1004.436,78.671669,67.608063,0.54176,0.02099,5.900084,5.900084,5.900084,5.900084,0.017773,0.001956,1.384681,8.387753,0.170315,-8.386156,1.0,0.962991,1.603327,1.210667,1.380982,0.170315,15360.0,3.409181,1.210232,1.902583,0.692351,1008.0,14791.533203,1024.0,1024.0,137.007874,50600,64.0,1999.3
51400,2900,1021.014,77.775856,66.800346,0.512263,0.02094,5.912766,5.912766,5.912766,5.912766,0.015072,0.001888,1.36834,8.389068,0.168191,-8.386794,1.0,0.962987,1.595307,1.231928,1.400119,0.168191,15360.0,3.248712,1.230904,1.88862,0.657716,1008.0,14791.478516,1024.0,1024.0,116.928787,51400,64.0,1999.3
52200,2950,1038.068,79.120552,68.265785,0.480514,0.021008,5.828742,5.828742,5.828742,5.828742,0.014966,0.001906,1.347377,8.389932,0.165262,-8.401283,1.0,0.963291,1.65061,1.253761,1.419023,0.165262,15360.0,3.145464,1.25309,1.861288,0.608198,1008.0,14796.143555,1024.0,1024.0,120.311096,52200,64.0,1999.3
53000,3000,1054.699,77.298706,66.198654,0.494045,0.020793,5.969113,5.969113,5.969113,5.969113,0.014148,0.00152,1.328417,8.390941,0.16366,-8.348773,1.0,0.965488,1.69912,1.276832,1.440492,0.16366,15360.0,3.305513,1.276575,1.913337,0.636763,1008.0,14829.900391,1024.0,1024.0,102.491348,53000,64.0,1999.3
53800,3050,1071.302,74.673607,63.583939,0.477551,0.020755,5.924561,5.924561,5.924561,5.924561,0.015022,0.001363,1.357722,8.390098,0.165946,-8.401793,1.0,0.966808,1.732584,1.301365,1.46731,0.165946,15360.0,3.280123,1.30141,1.911949,0.610539,1008.0,14850.167969,1024.0,1024.0,106.020882,53800,64.0,1999.3
54600,3100,1088.376,75.014076,63.546303,0.494918,0.020746,6.202703,6.202703,6.202703,6.202703,0.015868,0.001408,1.375518,8.392886,0.168127,-8.390596,1.0,0.966628,1.746356,1.326666,1.494793,0.168127,15360.0,3.357546,1.325861,1.945336,0.619475,1008.0,14847.413086,1024.0,1024.0,99.050362,54600,64.0,1999.3
55400,3150,1105.508,76.864716,65.407257,0.504546,0.020729,6.129584,6.129584,6.129584,6.129584,0.013635,0.001353,1.378109,8.394417,0.168852,-8.382985,1.0,0.966972,1.759113,1.35426,1.523112,0.168852,15360.0,3.508044,1.353451,1.999371,0.64592,1008.0,14852.695312,1024.0,1024.0,76.236526,55400,64.0,1999.3
56200,3200,1122.626,74.353401,62.698353,0.482551,0.02062,6.323011,6.323011,6.323011,6.323011,0.013419,0.001,1.397576,8.395584,0.170565,-8.410925,1.0,0.969465,1.76795,1.382367,1.552932,0.170565,15360.0,3.436787,1.381341,2.003341,0.622,1008.0,14890.976562,1024.0,1024.0,124.316116,56200,64.0,1999.3
57000,3250,1139.728,74.58226,63.09367,0.504445,0.020692,6.190562,6.190562,6.190562,6.190562,0.017014,0.001215,1.357402,8.396611,0.165898,-8.406063,1.0,0.967825,1.736937,1.409364,1.575262,0.165898,15360.0,3.531674,1.408492,2.052216,0.643724,1008.0,14865.785156,1024.0,1024.0,71.764755,57000,64.0,1999.3
57800,3300,1156.514,65.255928,53.780205,0.514241,0.020581,6.189018,6.189018,6.189018,6.189018,0.016722,0.000873,1.357922,8.397379,0.165766,-8.384071,1.0,0.970241,1.721813,1.436422,1.602188,0.165766,15360.0,3.51081,1.435538,2.081148,0.64561,1008.0,14902.908203,1024.0,1024.0,128.806213,57800,64.0,1999.3
58600,3350,1173.576,74.987862,63.455727,0.516695,0.020642,6.309173,6.309173,6.309173,6.309173,0.014855,0.001046,1.325777,8.397578,0.161971,-8.401707,1.0,0.969069,1.680866,1.462812,1.624783,0.161971,15360.0,3.493538,1.461275,2.109834,0.648559,1008.0,14884.896484,1024.0,1024.0,108.911919,58600,64.0,1999.3
59400,3400,1190.653,75.339439,63.690975,0.556781,0.02066,6.306571,6.306571,6.306571,6.306571,0.018182,0.000983,1.358361,8.399969,0.16538,-8.422774,1.0,0.96991,1.662681,1.488995,1.654375,0.16538,15360.0,3.709173,1.487435,2.225581,0.738146,1008.0,14897.818359,1024.0,1024.0,113.41188,59400,64.0,1999.3
