step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
1950,426.174,84.581688,79.089905,0.552077,0.022493,4.470191,4.470191,4.470191,4.470191,31.077663,36.342686,0.013409,0.00483,99.35891
1975,431.536,84.801956,79.263702,0.529491,0.022778,4.532709,4.532709,4.532709,4.532709,31.577168,36.54409,0.012305,0.005203,160.758942
2000,436.973,80.896118,75.50795,0.532581,0.02226,4.393933,4.393933,4.393933,4.393933,31.307571,36.541008,0.013057,0.004401,109.037231
2025,442.429,81.119865,75.676208,0.542571,0.022429,4.435145,4.435145,4.435145,4.435145,30.973396,36.460403,0.01268,0.004687,95.816162
2050,447.879,77.235275,71.434494,0.534367,0.02197,4.767672,4.767672,4.767672,4.767672,31.184,36.466248,0.014916,0.003984,78.570992
2075,453.275,87.696968,82.044777,0.534568,0.023953,4.630605,4.630605,4.630605,4.630605,31.435863,36.638493,0.014341,0.00669,176.163391
2100,458.643,79.733772,74.291748,0.521227,0.022532,4.452971,4.452971,4.452971,4.452971,31.227325,36.57621,0.01307,0.004827,87.754143
2125,464.119,80.120415,74.354675,0.512758,0.022091,4.755353,4.755353,4.755353,4.755353,31.026497,36.562374,0.012217,0.004119,87.368996
2150,469.485,78.922066,73.316681,0.522055,0.021817,4.601376,4.601376,4.601376,4.601376,31.002457,36.311195,0.011927,0.003656,80.81385
2175,474.851,83.862511,78.067566,0.566875,0.022243,4.732576,4.732576,4.732576,4.732576,31.112957,36.241154,0.017134,0.004239,114.92746
2200,480.299,81.538879,75.719635,0.533697,0.022402,4.784679,4.784679,4.784679,4.784679,31.117409,36.519279,0.013569,0.004389,113.804565
2225,485.68,77.653969,71.719681,0.507708,0.021641,4.913581,4.913581,4.913581,4.913581,31.145481,36.379196,0.01203,0.00337,114.333778
2250,491.05,81.739304,75.882042,0.519406,0.022115,4.832489,4.832489,4.832489,4.832489,31.140633,36.504242,0.012493,0.004074,150.469208
2275,496.497,77.918976,72.01535,0.507302,0.021678,4.886051,4.886051,4.886051,4.886051,30.868023,36.307808,0.010617,0.0034,117.584122
2300,501.859,77.086212,71.092422,0.518937,0.021789,4.957331,4.957331,4.957331,4.957331,31.346687,36.439281,0.012284,0.003616,161.461868
2325,507.234,79.241341,73.268112,0.499841,0.022087,4.955727,4.955727,4.955727,4.955727,31.160366,36.42778,0.010319,0.004015,98.569069
2350,512.622,75.502937,69.328995,0.500681,0.021587,5.137895,5.137895,5.137895,5.137895,30.970879,36.238953,0.011531,0.003257,102.455795
